type,text
本文,そしたら私、一生、今日という日を記念にして、もう、二度とあなたには逢わない。
本文,……ほんとよ、ほんと。
本文,私、あなたの望みどおりの女になってしまいたいの。
本文,だから……」
本文,青年は、事情の奇妙な好転にびっくりした。
本文,今日だけで、もう二度と逢わないと約束すると、相手のほうからいってる。
本文,これは願ったり叶ったりだ。
本文,テープもとりもどした。
本文,これなら、まず心配はない。
本文,……
本文,彼は、もしかしたら彼女は死ぬつもりなのかもしれないと思った。
本文,しかし、まあ、気のきいた幽霊ならとうに消えている頃だ。
本文,それもいいじゃないか。
本文,青年はうなずいた。
本文,ベッドを直すふりをし、慎重に第二の録音器のないのをたしかめると、彼女を両手で抱え上げた。
本文,四十歳を越えた彼女の皮膚はゆるみ、ながいあいだの舞台化粧で荒れたその顔の肌には、おぞましいほどの皺があった。
本文,しかし、青年はせいいっぱいの努力でその女体を抱き、もはや完全な義務と化してしまっているいつもの愛撫の順序を、忠実にたどりはじめた。
本文,ドアの閉まる音がひびいた。
本文,音の消えた部屋の中で、彼女はうすく目をひらいた。
本文,青年の若い肉体の香りが、ごくかすかに、しかし鋭くまだ匂っていた。
本文,「……やっぱり、思っていたとおりだったわ。
本文,私って、あなたの顔を見ていると、あなたのためだったら、どんなことでもしてあげたいとしか考えられなくなっちゃうのね。
本文,なんでも、あなたのいいなりに、あなたのいいようにだけしてあげたくなってしまう。
本文,……あのテープだって、訊かれたらやはりかくしてはおけなかったわ」
本文,まるですぐ目の前に青年がいるみたいに、彼女は声に出していった。
本文,「あなたが私をひとつも愛してなんかいないってことは、最初から知っていたわ。
本文,だから、いつもこれが最後だという気がして、いままで何本テープをとったかわからないわ。
本文,はじめは私だけの記念にするつもりだったのに、いつのまにかそれが習慣みたいになって、……今日のも、その習慣のつづきだったの」
本文,そのとき窓の外に、自動車のスタートする爆音がひびいた。
本文,いそいでベッドを下り、窓に寄って、レースのかげから彼女は道をながめた。
本文,青年の乗ってきた小型の黒いセダンが、急速にその視野を消えて行った。
本文,「さよなら」
本文,いって、彼女は大きく呼吸を吐いた。
本文,「……やっぱり、そうだったわ。
本文,もしあれを持ったままでいたら、逢っているうちにあなたが可哀そうでたまらなくなって、きっと全部あなたに渡してあげちゃったにちがいないわ。
本文,……ごめんなさいね、坊や。
本文,そう思ったから私、今日、あなたに電話をかける前に、いままでのテープ、あれをそっくりある週刊誌にとどけさせておいたの。
本文,女中に。
本文,……たぶん、もう着いているころだわ」
本文,彼女はゆったりとソファに腰を下ろした。
本文,癖の、疲れた調子の声でいった。
本文,「……悪かったわ。
本文,でも坊や、直接の動機は昨夜の紅白歌合戦なのよ。
本文,あれで私、今年があなたの年だとわかった。
本文,でも、そうなったら、あらゆるテレビ、ラジオ、週刊誌、雑誌で、日本中に坊やの顔と声が氾濫する。
本文,それなのにあなたは私に逢ってくれない。
本文,私、坊やをやはり私だけのものにしておきたかったし、しょっちゅう坊やの顔や歌を見たり聞いたりしながら、しかも逢えない自分なんて、思ってみただけでも耐えられない。
本文,だから私、いっそマス・コミの中からあなたを消し、いっしょに自分をあなたにあわす顔のない女、顔をあわす資格のない悪い女にしてしまおうと考えたの。
本文,それでこそ、私はあなたの思いどおり、あなたには逢えない女になる。
